customer_id,age,age_band,gender,item_purchased,category,purchase_amount_usd,location,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,discount_flag,subscriber_flag,repeat_customer_flag,purchase_cycle_days,customer_segment,revenue_per_purchase_day
1,55,50+,Male,Blouse,Clothing,53,Kentucky,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,True,True,True,14.0,Promotion-led growth,3.7857142857142856
2,19,Under 25,Male,Sweater,Clothing,64,Maine,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,True,True,False,14.0,New or occasional,4.571428571428571
3,50,50+,Male,Jeans,Clothing,73,Massachusetts,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,True,True,True,7.0,New or occasional,10.428571428571429
4,21,Under 25,Male,Sandals,Footwear,90,Rhode Island,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,True,True,True,7.0,Loyal high-value,12.857142857142858
5,45,35-49,Male,Blouse,Clothing,49,Oregon,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,True,True,True,30.0,Subscribed repeat,1.6333333333333333
6,46,35-49,Male,Sneakers,Footwear,20,Wyoming,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,True,True,True,7.0,Promotion-led growth,2.857142857142857
7,63,50+,Male,Shirt,Clothing,85,Montana,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,True,True,True,90.0,Loyal high-value,0.9444444444444444
8,27,25-34,Male,Shorts,Clothing,34,Louisiana,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,True,True,True,7.0,Promotion-led growth,4.857142857142857
9,26,25-34,Male,Coat,Outerwear,97,West Virginia,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,True,True,False,30.0,New or occasional,3.2333333333333334
10,57,50+,Male,Handbag,Accessories,31,Missouri,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,True,True,False,90.0,Promotion-led growth,0.34444444444444444
11,53,50+,Male,Shoes,Footwear,34,Arkansas,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,True,True,True,14.0,Subscribed repeat,2.4285714285714284
12,30,25-34,Male,Shorts,Clothing,68,Hawaii,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,True,True,True,14.0,New or occasional,4.857142857142857
13,61,50+,Male,Coat,Outerwear,72,Delaware,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,True,True,True,14.0,Loyal high-value,5.142857142857143
14,65,50+,Male,Dress,Clothing,51,New Hampshire,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,True,True,True,7.0,Subscribed repeat,7.285714285714286
15,64,50+,Male,Coat,Outerwear,53,New York,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,True,True,True,7.0,Subscribed repeat,7.571428571428571
16,64,50+,Male,Skirt,Clothing,81,Rhode Island,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,True,True,False,30.0,New or occasional,2.7
17,25,25-34,Male,Sunglasses,Accessories,36,Alabama,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,True,True,True,14.0,Subscribed repeat,2.5714285714285716
18,53,50+,Male,Dress,Clothing,38,Mississippi,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,True,True,True,90.0,Subscribed repeat,0.4222222222222222
19,52,50+,Male,Sweater,Clothing,48,Montana,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,True,True,True,7.0,Promotion-led growth,6.857142857142857
20,66,50+,Male,Pants,Clothing,90,Rhode Island,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,True,True,True,14.0,Loyal high-value,6.428571428571429
21,21,Under 25,Male,Pants,Clothing,51,Louisiana,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.5666666666666667
22,31,25-34,Male,Pants,Clothing,62,North Carolina,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,True,True,True,90.0,New or occasional,0.6888888888888889
23,56,50+,Male,Pants,Clothing,37,California,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,True,True,True,30.0,Subscribed repeat,1.2333333333333334
24,31,25-34,Male,Pants,Clothing,88,Oklahoma,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,True,True,True,7.0,Loyal high-value,12.571428571428571
25,18,Under 25,Male,Jacket,Outerwear,22,Florida,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,True,True,True,7.0,Promotion-led growth,3.142857142857143
26,18,Under 25,Male,Hoodie,Clothing,25,Texas,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,True,True,True,30.0,Promotion-led growth,0.8333333333333334
27,38,35-49,Male,Jewelry,Accessories,20,Nevada,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,True,True,True,30.0,Promotion-led growth,0.6666666666666666
28,56,50+,Male,Shorts,Clothing,56,Kentucky,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,True,True,False,90.0,Promotion-led growth,0.6222222222222222
29,54,50+,Male,Handbag,Accessories,94,North Carolina,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,True,True,True,90.0,Loyal high-value,1.0444444444444445
30,31,25-34,Male,Dress,Clothing,48,Wyoming,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,True,True,True,7.0,Promotion-led growth,6.857142857142857
31,57,50+,Male,Jewelry,Accessories,31,North Carolina,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,True,True,True,30.0,Promotion-led growth,1.0333333333333334
32,33,25-34,Male,Dress,Clothing,79,West Virginia,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,True,True,True,30.0,Loyal high-value,2.6333333333333333
33,36,35-49,Male,Jacket,Outerwear,67,Kansas,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,True,True,True,30.0,Loyal high-value,2.2333333333333334
34,54,50+,Male,Pants,Clothing,38,Colorado,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,True,True,True,90.0,Subscribed repeat,0.4222222222222222
35,36,35-49,Male,T-shirt,Clothing,91,North Dakota,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,True,True,True,90.0,Loyal high-value,1.011111111111111
36,54,50+,Male,Blouse,Clothing,33,Massachusetts,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,True,True,True,14.0,Subscribed repeat,2.357142857142857
37,35,35-49,Male,T-shirt,Clothing,69,Illinois,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,True,True,True,14.0,Loyal high-value,4.928571428571429
38,35,35-49,Male,Jeans,Clothing,45,Indiana,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,True,True,True,7.0,Promotion-led growth,6.428571428571429
39,29,25-34,Male,Dress,Clothing,37,Florida,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.4111111111111111
40,70,50+,Male,Pants,Clothing,60,Arizona,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,True,True,True,30.0,New or occasional,2.0
41,69,50+,Male,Handbag,Accessories,76,Louisiana,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,True,True,True,90.0,Loyal high-value,0.8444444444444444
42,67,50+,Male,Scarf,Accessories,39,Alaska,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,True,True,True,30.0,Subscribed repeat,1.3
43,20,Under 25,Male,Coat,Outerwear,100,Tennessee,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,True,True,True,30.0,New or occasional,3.3333333333333335
44,25,25-34,Male,Scarf,Accessories,69,Ohio,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,True,True,True,14.0,New or occasional,4.928571428571429
45,39,35-49,Male,Hat,Accessories,53,Kentucky,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,True,True,True,7.0,Subscribed repeat,7.571428571428571
46,50,50+,Male,Socks,Clothing,21,Tennessee,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,True,True,True,30.0,Subscribed repeat,0.7
47,57,50+,Male,Shirt,Clothing,43,California,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,True,True,True,90.0,Subscribed repeat,0.4777777777777778
48,55,50+,Male,Jewelry,Accessories,54,Montana,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,True,True,True,7.0,Subscribed repeat,7.714285714285714
49,42,35-49,Male,Shirt,Clothing,55,Nevada,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,True,True,True,30.0,Subscribed repeat,1.8333333333333333
50,68,50+,Male,Hoodie,Clothing,30,New Jersey,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,True,True,True,14.0,Subscribed repeat,2.142857142857143
51,49,35-49,Male,Blouse,Clothing,28,Maryland,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,True,True,True,14.0,Subscribed repeat,2.0
52,59,50+,Male,Skirt,Clothing,59,Vermont,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,True,True,False,90.0,Promotion-led growth,0.6555555555555556
53,42,35-49,Male,T-shirt,Clothing,20,Alaska,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,True,True,True,7.0,Subscribed repeat,2.857142857142857
54,29,25-34,Male,Skirt,Clothing,24,Mississippi,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,True,True,True,7.0,Subscribed repeat,3.4285714285714284
55,47,35-49,Male,Coat,Outerwear,94,New Mexico,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,True,True,True,14.0,Loyal high-value,6.714285714285714
56,40,35-49,Male,Jacket,Outerwear,28,South Carolina,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,True,True,True,30.0,Subscribed repeat,0.9333333333333333
57,41,35-49,Male,Backpack,Accessories,73,Mississippi,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,True,True,True,7.0,Loyal high-value,10.428571428571429
58,21,Under 25,Male,Coat,Outerwear,64,West Virginia,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,True,True,True,14.0,New or occasional,4.571428571428571
59,69,50+,Male,Hoodie,Clothing,54,Missouri,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,True,True,True,30.0,Subscribed repeat,1.8
60,63,50+,Male,Belt,Accessories,79,Louisiana,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,True,True,False,7.0,New or occasional,11.285714285714286
61,50,50+,Male,Sweater,Clothing,37,Idaho,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,True,True,True,7.0,Promotion-led growth,5.285714285714286
62,55,50+,Male,Scarf,Accessories,68,Texas,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,True,True,True,90.0,New or occasional,0.7555555555555555
63,30,25-34,Male,Sneakers,Footwear,21,Mississippi,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,True,True,True,14.0,Subscribed repeat,1.5
